Interview number,SECTOR,REGION,DISTRICT,PARISH,Language,Role in Business,What is your role in the business?,Age of owner,Gender of owner,Nationality of owner,Primary Activity,Secondary Activity,How long has the business been operating?,Legal status,What is the current legal status of the business? SINGLE ANSWER,Where business operates from,Where does the business mainly operate from? SINGLE ANSWER,Keeping all physical receipts in an organized manner,Book keeping for revenues (but not necessarily expenditures),Do full financials (Revenue and expense excluding tax accounting),4 Do full financials (Revenue and expense including tax accounting),Firms total sales
1755,TRANSPORT & STORAGE,NORTHERN,KITGUM,TOWN PARISH,English,Manager,,25-34,Female,Ugandan,Accommodation,,30,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,1000000
1756,CONSTRUCTION,NORTHERN,KITGUM,TOWN WARD,English,Other (please state),DIRECTOR,35-50,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,5,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,850000
1757,FOOD PROCESSING,CENTRAL,WAKISO,MIGADE,Luganda,Owner,,50+,Female,Ugandan,Food and beverage service activities,,9,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,1440000
,,,,,,,,,,,,,,,,,,,,,,
1759,INFORMATION & COMMUNICATION,WESTERN,NTOROKO,KARUGUTU TOWN BOARD,English,Owner,,35-50,Male,Ugandan,"Motion picture, video and television programme production, sound recording and m",,15,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,350000
1760,RECREATION & PERSONAL,WESTERN,KAMWENGE,KAMWENGE WARD,English,Owner,,25-34,Male,Ugandan,"Creative, arts and entertainment activities",,10,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,1200000
1761,AGRICULTURE,CENTRAL,MPIGI,NAKIBANGA,English,Owner,,35-50,Female,Ugandan,"Crop and animal production, hunting and related service activities",,4,Single owner/sole proprietorship,,Home,,Yes,Yes,1,1,1500000
1762,OTHER MANUFACTURING,CENTRAL,MPIGI,MBIZINYA,Luganda,Other (please state),Sales representative.,25-34,Male,Ugandan,Manufacture of wearing apparel,,7,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,0,1150000
,,,,,,,,,,,,,,,,,,,,,,
1764,REAL ESTATE,KAMPALA,KAMPALA,CIVIC CENTRE,English,Other (please state),Director,35-50,Male,Ugandan,"Financial service activities, except insurance and pension funding",,7,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,2500000
1765,TRANSPORT & STORAGE,KAMPALA,KAMPALA,NAKAWA,English,Other (please state),Director,35-50,Male,Ugandan,Postal and courier activities,,16,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,6000000
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1769,FINANCIAL,WESTERN,KIRYANDONGO,CENTRAL WARD,English,Manager,,35-50,Male,Ugandan,"Financial service activities, except insurance and pension funding",,5,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,1900000
1770,ACCOMODATION,NORTHERN,GULU,VANGUARD,English,Manager,,35-50,Male,Ugandan,Food and beverage service activities,,15,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,800000
1771,INFORMATION & COMMUNICATION,WESTERN,MBARARA,KATETE,English,Owner,,35-50,Male,Ugandan,"Motion picture, video and television programme production, sound recording and m",,18,Single owner/sole proprietorship,,"Informal premises (e.g. informal market, street, vehicle,",,No,No,0,0,400000
1772,FINANCIAL,WESTERN,MBARARA,KAMUKUZI,English,Manager,,50+,Male,Ugandan,"Financial service activities, except insurance and pension funding",,18,Co-operative,,"Informal premises (e.g. informal market, street, vehicle,",,No,No,1,0,32000000
1773,FINANCIAL,WESTERN,MBARARA,KAKOBA,English,Other (please state),SALES PERSON,18-24,Male,Ugandan,"Insurance, reinsurance and pension funding, except compulsory social security",,21,"Privately held, limited company",,"Informal premises (e.g. informal market, street, vehicle,",,No,No,0,0,11000000
1774,EDUCATION & HEALTH,WESTERN,MBARARA,KAKOBA,English,Owner,,35-50,Male,Ugandan,Education,,8,Single owner/sole proprietorship,,"Informal premises (e.g. informal market, street, vehicle,",,No,Yes,0,1,1500000
1775,INFORMATION & COMMUNICATION,WESTERN,MBARARA,KAMUKUZI,English,Manager,,25-34,Male,Ugandan,"Computer programming, consultancy and related activities",,7,Single owner/sole proprietorship,,"Informal premises (e.g. informal market, street, vehicle,",,No,No,0,0,1000000
1776,FINANCIAL,WESTERN,MBARARA,KAKOBA,English,Manager,,25-34,Male,Ugandan,"Insurance, reinsurance and pension funding, except compulsory social security",,15,"Privately held, limited company",,"Informal premises (e.g. informal market, street, vehicle,",,Yes,Yes,1,1,75000000
,,,,,,,,,,,,,,,,,,,,,,
1778,TRANSPORT & STORAGE,EASTERN,TORORO,MALABA WARD,English,Manager,,50+,Male,Ugandan,"Insurance, reinsurance and pension funding, except compulsory social security",,20,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,No,0,1,4000000
1779,ACCOMODATION,NORTHERN,KITGUM,TOWN WARD,English,Manager,,35-50,Male,Ugandan,Accommodation,,15,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,1000000
1780,FOOD PROCESSING,NORTHERN,KITGUM,TOWN WARD,English,Owner,,35-50,Female,Ugandan,"Crop and animal production, hunting and related service activities",,9,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,300000
1781,EDUCATION & HEALTH,NORTHERN,KITGUM,TOWN WARD,English,Owner,,35-50,Male,Ugandan,Repair of computers and personal and household goods,,9,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,1000000
1782,OTHER MANUFACTURING,EASTERN,TORORO,TUBA,Swahili,Owner,,35-50,Male,Ugandan,Manufacture of wearing apparel,,8,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,80000
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1786,EDUCATION & HEALTH,WESTERN,ISINGIRO,RUYANGA,English,Manager,,35-50,Male,Ugandan,Education,,13,Partnership,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,60000000
1787,AGRICULTURE,CENTRAL,WAKISO,WAMPEWO,Luganda,Manager,,50+,Male,Ugandan,"Crop and animal production, hunting and related service activities",,40,Other (please specify),Family owned,Farm,,Yes,Yes,0,0,1500000
1788,AGRICULTURE,CENTRAL,LUWERO,BWAZIBA,English,Owner,,25-34,Male,Ugandan,"Crop and animal production, hunting and related service activities",,5,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,400000
1791,FINANCIAL,WESTERN,NTOROKO,NTOROKO,English,Owner,,25-34,Male,Ugandan,"Financial service activities, except insurance and pension funding",,3,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,4000000
1792,FINANCIAL,WESTERN,NTOROKO,NTOROKO,English,Owner,,25-34,Male,Ugandan,"Financial service activities, except insurance and pension funding",,12,Co-operative,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,6000000
,,,,,,,,,,,,,,,,,,,,,,
1794,EDUCATION & HEALTH,NORTHERN,AMOLATAR,CENTRAL,English,Owner,,35-50,Male,Ugandan,Construction of buildings,,5,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,800000
1795,EDUCATION & HEALTH,NORTHERN,AMOLATAR,EPYEL,English,Other (please state),Head Teachet,35-50,Female,Ugandan,Education,,5,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,1000000
1797,ACCOMODATION,NORTHERN,AMOLATAR,CENTRAL,English,Owner,,50+,Male,Ugandan,Accommodation,,3,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,3000000
1798,TRADING,NORTHERN,AMOLATAR,CENTRAL,English,Manager,,35-50,Female,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,4,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,300000
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1803,TRANSPORT & STORAGE,EASTERN,TORORO,MALABA WARD,English,Manager,,50+,Male,Ugandan,Postal and courier activities,,5,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,No,0,1,20000000
1804,FINANCIAL,NORTHERN,OYAM,AKUCA,English,Other (please state),Chairperson,35-50,Female,Ugandan,"Financial service activities, except insurance and pension funding",,9,Co-operative,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,20000000
1805,ACCOMODATION,NORTHERN,OYAM,WESTERN WARD,English,Owner,,35-50,Female,Ugandan,Food and beverage service activities,,10,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,300000
1806,FOOD PROCESSING,NORTHERN,OYAM,WESTERN WARD,English,Manager,,35-50,Male,Ugandan,Food and beverage service activities,,9,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,2500000
1807,FINANCIAL,NORTHERN,OYAM,KAMDINI,English,Other (please state),Chairperson,35-50,Male,Ugandan,"Financial service activities, except insurance and pension funding",,5,Co-operative,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,5000000
1808,EDUCATION & HEALTH,CENTRAL,MUKONO,GGULU WARD,English,Manager,,50+,Male,Ugandan,Publishing activities,,5,Single owner/sole proprietorship,,Home,,Yes,No,0,0,600000
1809,RECREATION & PERSONAL,CENTRAL,WAKISO,KAWANDA,English,Owner,,25-34,Male,Ugandan,Sports activities and amusement and recreation activities,,4,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,800000
,,,,,,,,,,,,,,,,,,,,,,
1811,INFORMATION & COMMUNICATION,WESTERN,NTOROKO,KARUGUTU TOWN BOARD,English,Owner,,25-34,Male,Ugandan,"Creative, arts and entertainment activities",,8,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,2400000
1812,OTHER MANUFACTURING,WESTERN,KAMWENGE,KAMWENGE WARD,English,Owner,,35-50,Female,Ugandan,Manufacture of wearing apparel,,8,Single owner/sole proprietorship,,Home,,No,No,0,0,200000
1813,MINING,EASTERN,JINJA,MASESE,English,Other (please state),Director,50+,Male,Indian,Other mining and quarrying,,6,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,6000000
1814,AGRICULTURE,EASTERN,JINJA,KAGOMA,English,Owner,,35-50,Male,Ugandan,"Crop and animal production, hunting and related service activities",,5,Single owner/sole proprietorship,,Farm,,No,No,0,0,500000
1815,OTHER MANUFACTURING,NORTHERN,LIRA,TESO A,English,Owner,,25-34,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,12,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,400000
1816,CONSTRUCTION,NORTHERN,LIRA,JUNIOR QUARTERS,English,Manager,,35-50,Male,Ugandan,Programming and broadcasting activities,,15,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,3000000
,,,,,,,,,,,,,,,,,,,,,,
1819,TRADING,CENTRAL,MASAKA,NYENDO,Luganda,Manager,,25-34,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,5,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,5000000
1820,TRADING,CENTRAL,MASAKA,NYENDO,English,Owner,,25-34,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,6,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,4000000
1821,ACCOMODATION,CENTRAL,RAKAI,KALISIZO TR C,Luganda,Owner,,25-34,Female,Ugandan,Food and beverage service activities,,4,Single owner/sole proprietorship,,"Informal premises (e.g. informal market, street, vehicle,",,No,No,0,0,600000
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1825,INFORMATION & COMMUNICATION,CENTRAL,MASAKA,BUTEGO,English,Owner,,25-34,Male,Ugandan,"Computer programming, consultancy and related activities",,5,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,1000000
1826,INFORMATION & COMMUNICATION,CENTRAL,MASAKA,NYENDO,English,Manager,,25-34,Male,Ugandan,"Computer programming, consultancy and related activities",,3,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,750000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1828,TRANSPORT & STORAGE,EASTERN,TORORO,MALABA WARD,English,Manager,,35-50,Male,Ugandan,Postal and courier activities,,4,Partnership,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,16800000
1829,CONSTRUCTION,CENTRAL,MASAKA,KATWE,English,Owner,,25-34,Male,Ugandan,Activities of households as employers of domestic personnel,,6,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,No,0,0,5000000
1830,FISHING,WESTERN,BULIISA,WALUKUBA,English,Manager,,35-50,Male,Ugandan,"Crop and animal production, hunting and related service activities",,5,Single owner/sole proprietorship,,Other (please specify),Landing site,Yes,No,0,0,800000
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1834,RECREATION & PERSONAL,CENTRAL,MUKONO,SEETA,English,Owner,,25-34,Male,Ugandan,"Creative, arts and entertainment activities",,4,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,600000
1835,OTHER MANUFACTURING,CENTRAL,MUKONO,NAMUMIRA - ANTHONY,English,Owner,,35-50,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,6,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,500000
1836,ACCOMODATION,EASTERN,JINJA,CENTRAL WEST WARD,English,Owner,,35-50,Female,Ugandan,Food and beverage service activities,,16,Single owner/sole proprietorship,,"Informal premises (e.g. informal market, street, vehicle,",,No,Yes,0,0,1320000
1837,AGRICULTURE,WESTERN,BULIISA,WALUKUBA,English,Other (please state),Assistant,50+,Male,Ugandan,"Crop and animal production, hunting and related service activities",,16,Single owner/sole proprietorship,,Other (please specify),Landing site,Yes,No,0,0,1500000
1838,TRADING,WESTERN,BULIISA,NYAMASOGA,English,Owner,,35-50,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,3,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,No,0,0,500000
1839,TRANSPORT & STORAGE,CENTRAL,MASAKA,BUKIBONGA,Luganda,Owner,,25-34,Male,Ugandan,Construction of buildings,,12,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,2000000
,,,,,,,,,,,,,,,,,,,,,,
1842,EDUCATION & HEALTH,NORTHERN,LIRA,ADOLA,English,Other (please state),Principal,50+,Male,Ugandan,Education,,20,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,6000000
1843,TRADING,NORTHERN,DOKOLO,CENTRAL WARD,English,Owner,,35-50,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,9,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,800000
1844,TRANSPORT & STORAGE,EASTERN,TORORO,MALABA WARD,English,Manager,,35-50,Male,Ugandan,Postal and courier activities,,15,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,1,50000000
1845,AGRICULTURE,CENTRAL,LUWERO,KATIKAMU,English,Owner,,35-50,Female,Ugandan,"Crop and animal production, hunting and related service activities",,9,Single owner/sole proprietorship,,Home,,Yes,No,0,0,5000000
1846,REAL ESTATE,KAMPALA,KAMPALA,MENGO,English,Manager,,35-50,Male,Ugandan,Real estate activities,,5,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,No,0,0,50000000
1847,REAL ESTATE,KAMPALA,KAMPALA,WANDEGEYA,English,Manager,,25-34,Male,Ugandan,Real estate activities,,7,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,No,0,1,80000000
1848,EDUCATION & HEALTH,KAMPALA,KAMPALA,BUGOLOBI,English,Manager,,35-50,Male,Ugandan,Education,,10,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,No,0,1,200011000
1849,RECREATION & PERSONAL,CENTRAL,MITYANA,CENTRAL WARD,English,Owner,,35-50,Male,Ugandan,"Creative, arts and entertainment activities",,7,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,No,0,0,650000
1850,EDUCATION & HEALTH,CENTRAL,WAKISO,KAZO-NABWERU,English,Other (please state),Duty head master,25-34,Male,Ugandan,Education,,8,"Privately held, limited company",,Other (please specify),Own land,Yes,No,0,0,3500000
1851,TRANSPORT & STORAGE,EASTERN,TORORO,MALABA WARD,English,Manager,,50+,Male,Ugandan,Postal and courier activities,,30,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,No,0,1,46000000
1852,INFORMATION & COMMUNICATION,KAMPALA,KAMPALA,BUGOLOBI,English,Owner,,25-34,Male,Ugandan,"Computer programming, consultancy and related activities",,5,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,500000
1853,REAL ESTATE,KAMPALA,KAMPALA,MAKINDYE I,English,Manager,,25-34,Female,Ugandan,Real estate activities,,7,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,5000000
,,,,,,,,,,,,,,,,,,,,,,
1855,OTHER MANUFACTURING,WESTERN,BULIISA,NYAMASOGA,English,Other (please state),Work assistant,25-34,Female,Ugandan,Manufacture of wearing apparel,,5,Single owner/sole proprietorship,,Home,,Yes,No,0,0,300000
1856,FOOD PROCESSING,CENTRAL,MPIGI,MBIZINYA,Luganda,Owner,,25-34,Male,Ugandan,Food and beverage service activities,,4,Single owner/sole proprietorship,,"Informal premises (e.g. informal market, street, vehicle,",,No,No,0,0,4500000
1857,ACCOMODATION,CENTRAL,MPIGI,KAMENGO,Luganda,Owner,,50+,Male,Ugandan,Food and beverage service activities,,10,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,200000
1858,FOOD PROCESSING,CENTRAL,MPIGI,JJEZA,Luganda,Manager,,35-50,Male,Ugandan,"Crop and animal production, hunting and related service activities",,10,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,80000000
1859,TRANSPORT & STORAGE,EASTERN,TORORO,MALABA WARD,English,Manager,,35-50,Male,Ugandan,Postal and courier activities,,8,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,1,96000000
1860,OTHER MANUFACTURING,WESTERN,KAMWENGE,BIGODI,English,Owner,,35-50,Female,Ugandan,Manufacture of wearing apparel,,10,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,100000
1861,ACCOMODATION,WESTERN,KAMWENGE,RUGUJO,English,Owner,,25-34,Male,Ugandan,Food and beverage service activities,,3,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,4100000
1862,INFORMATION & COMMUNICATION,WESTERN,KAMWENGE,BIGODI,English,Owner,,50+,Male,Ugandan,"Motion picture, video and television programme production, sound recording and m",,14,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,400000
1863,FINANCIAL,WESTERN,KAMWENGE,KYAKANYEMERA,English,Manager,,25-34,Female,Ugandan,"Financial service activities, except insurance and pension funding",,8,Co-operative,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,2000000
1864,FINANCIAL,NORTHERN,DOKOLO,CENTRAL WARD,English,Manager,,35-50,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,9,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,5000000
1865,FINANCIAL,NORTHERN,DOKOLO,AMUDA,English,Other (please state),Chairperson,35-50,Male,Ugandan,"Financial service activities, except insurance and pension funding",,10,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,30000000
1866,INFORMATION & COMMUNICATION,NORTHERN,GULU,LABOUR LINE,English,Other (please state),Director,35-50,Male,Ugandan,Repair of computers and personal and household goods,,3,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,700000
1867,ACCOMODATION,NORTHERN,GULU,LABOUR LINE,English,Manager,,35-50,Male,Ugandan,Food and beverage service activities,,12,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,3000000
1868,ACCOMODATION,NORTHERN,GULU,PAGEYA,English,Manager,,35-50,Male,Ugandan,Accommodation,,6,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,3000000
1869,FOOD PROCESSING,EASTERN,JINJA,KAKIRA,English,Owner,,35-50,Female,Ugandan,Food and beverage service activities,,15,Single owner/sole proprietorship,,"Informal premises (e.g. informal market, street, vehicle,",,No,No,0,0,1000000
1870,AGRICULTURE,CENTRAL,MPIGI,TIRIBOGO,English,Manager,,50+,Male,Others specify,"Crop and animal production, hunting and related service activities",,5,Single owner/sole proprietorship,,Farm,,Yes,Yes,1,1,15799000
1871,AGRICULTURE,CENTRAL,MPIGI,TIRIBOGO,Luganda,Other (please state),Poultry Care takers,50+,Female,Ugandan,"Crop and animal production, hunting and related service activities",,10,Single owner/sole proprietorship,,Home,,Yes,Yes,1,0,3948000
1872,AGRICULTURE,CENTRAL,LUWERO,BWAZIBA,English,Owner,,35-50,Male,Ugandan,"Crop and animal production, hunting and related service activities",,10,Single owner/sole proprietorship,,Home,,No,No,0,0,300000
1873,AGRICULTURE,CENTRAL,LUWERO,BWAZIBA,English,Owner,,25-34,Male,Ugandan,"Crop and animal production, hunting and related service activities",,7,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,300000
1874,TRANSPORT & STORAGE,NORTHERN,GULU,LIBRARY,English,Manager,,35-50,Male,Ugandan,Other personal service activities,,9,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,1000000
1875,CONSTRUCTION,NORTHERN,GULU,TECHO,English,Other (please state),Director,35-50,Male,Ugandan,Construction of buildings,,13,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,32000000
1876,CONSTRUCTION,CENTRAL,WAKISO,KIREKA,English,Owner,,35-50,Male,Ugandan,Construction of buildings,,4,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1881,RECREATION & PERSONAL,KAMPALA,KAMPALA,OLD KAMPALA,English,Owner,,25-34,Male,Ugandan,"Creative, arts and entertainment activities",,10,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,No,0,0,800000
1884,AGRICULTURE,EASTERN,JINJA,NAMIZI,English,Owner,,35-50,Female,Ugandan,Food and beverage service activities,,1,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,Yes,0,0,1000000
1885,AGRICULTURE,EASTERN,MAYUGE,MAGAMAGA TOWN BOARD,English,Owner,,35-50,Male,Ugandan,"Crop and animal production, hunting and related service activities",,15,Single owner/sole proprietorship,,Farm,,No,Yes,0,0,13000000
1886,ACCOMODATION,CENTRAL,BUIKWE,NJERU WEST,English,Owner,,25-34,Male,Ugandan,Food and beverage service activities,,4,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,Yes,0,0,180000
1887,RECREATION & PERSONAL,KAMPALA,KAMPALA,KYEBANDO,English,Manager,,35-50,Male,Ugandan,"Creative, arts and entertainment activities",,8,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,5000000
1888,AGRICULTURE,CENTRAL,WAKISO,BUSABALA,English,Owner,,25-34,Female,Ugandan,"Crop and animal production, hunting and related service activities",,7,Single owner/sole proprietorship,,Home,,No,Yes,0,0,487500
,,,,,,,,,,,,,,,,,,,,,,
1890,AGRICULTURE,CENTRAL,WAKISO,SEGUKU,English,Owner,,35-50,Female,Ugandan,"Crop and animal production, hunting and related service activities",,15,Single owner/sole proprietorship,,Home,,No,Yes,0,0,0
1891,FOOD PROCESSING,CENTRAL,WAKISO,KYALIWAJALA,English,Owner,,25-34,Female,Ugandan,Education,,1,Partnership,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,2500000
1892,TRADING,KAMPALA,KAMPALA,NAKAWA,English,Other (please state),Assistant manager,25-34,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,5,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,850000
1893,CONSTRUCTION,KAMPALA,KAMPALA,GGABA,English,Owner,,35-50,Male,Ugandan,Construction of buildings,,14,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,0
1894,TRADING,KAMPALA,KAMPALA,SALAAMA,English,Manager,,25-34,Male,Ugandan,Wholesale and retail trade and repair of motor vehicles and motorcycles,,4,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,200000
1895,EDUCATION & HEALTH,KAMPALA,KAMPALA,MBUYA I,English,Other (please state),Enrolled nurse,25-34,Female,Ugandan,Human health activities,,10,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,800000
1896,REAL ESTATE,CENTRAL,WAKISO,KIMWANYI/SEGUKU,English,Manager,,35-50,Male,Ugandan,Real estate activities,,14,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,0
1897,RECREATION & PERSONAL,KAMPALA,KAMPALA,CIVIC CENTRE,English,Manager,,25-34,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,6,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,No,0,0,500000
1898,ACCOMODATION,CENTRAL,WAKISO,BWEYOGERERE,English,Other (please state),Assistant manager,25-34,Female,Ugandan,Food and beverage service activities,,15,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,0,900000
1899,OTHER MANUFACTURING,CENTRAL,RAKAI,KALUNGI,English,Owner,,35-50,Female,Ugandan,Manufacture of wearing apparel,,5,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,150000
1900,AGRICULTURE,CENTRAL,WAKISO,NKUMBA,English,Owner,,35-50,Female,Ugandan,"Crop and animal production, hunting and related service activities",,3,Single owner/sole proprietorship,,Farm,,No,Yes,0,0,3600000
1901,RECREATION & PERSONAL,CENTRAL,WAKISO,KITALA,English,Owner,,50+,Male,Ugandan,Food and beverage service activities,,5,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,Yes,0,0,1000000
1902,AGRICULTURE,CENTRAL,LUWERO,KATUGO,English,Owner,,35-50,Male,Ugandan,"Crop and animal production, hunting and related service activities",,7,Single owner/sole proprietorship,,Farm,,No,Yes,0,0,1500000
1903,REAL ESTATE,CENTRAL,BUIKWE,BUIKWE,English,Owner,,35-50,Male,Ugandan,Construction of buildings,,7,Single owner/sole proprietorship,,"Informal premises (e.g. informal market, street, vehicle,",,No,No,0,0,3000000
